| hostname | job_id| fail_time           | category | reason | description                      | text     | jf_id   | nodes
| titan    |2941136| 2016-08-24 13:04:43 | software | system | GPU BUS                          | Node c9-2c2s0n1 GPU 0000:02:00.0 off the bus|2889297|c9-2c2s0n1
| titan    |2939666| 2016-08-24 13:35:55 | software | system | GPU BUS                          | Node c12-1c2s2n1 GPU 0000:02:00.0 off the bus|2889303|c12-1c2s2n1
| titan    |2911197| 2016-08-24 15:23:26 | software | system | GPU BUS                          | Node c14-4c2s4n0 GPU 0000:02:00.0 off the bus|2889327|c14-4c2s4n0
| titan    |2911197| 2016-08-24 15:23:31 | software | system | GPU XID                          | Node c14-4c2s4n0 GPU Xid 62 PMU communication error|2889330|c14-4c2s4n0
| titan    |2939000| 2016-08-24 18:56:34 | software | system | GPU XID                          | Node c6-0c2s3n1 GPU Xid 62 PMU communication error|2889807|c6-0c2s3n1
| titan    |2939000| 2016-08-24 18:56:34 | hardware | system | GPU DBE                          | Node c6-0c2s3n1 GPU DBE on GPU|2889804|c6-0c2s3n1
| titan    |2941328| 2016-08-25 10:29:47 | hardware | system | GPU DBE                          | Node c1-6c2s2n0 GPU DBE on GPU|2889822|c1-6c2s2n0
| titan    |2941328| 2016-08-25 10:29:48 | software | system | GPU XID                          | Node c1-6c2s2n0 GPU Xid 45 Preemptive cleanup, probably due to previous errors (DBE)|2889825|c1-6c2s2n0
| titan    |2942921| 2016-08-25 14:35:31 | software | system | GPU XID                          | Node c3-5c0s5n0 GPU Xid 13 Graphics Engine Exception|2889888|c3-5c0s5n0
| titan    |2942825| 2016-08-25 15:45:08 | software | system | GPU XID                          | Node c11-4c2s2n0 GPU Xid 62 PMU communication error|2889900|c11-4c2s2n0
| titan    |2942825| 2016-08-25 15:45:08 | hardware | system | GPU DBE                          | Node c11-4c2s2n0 GPU DBE on GPU|2889897|c11-4c2s2n0
| titan    |2943921| 2016-08-26 02:29:51 | software | system | GPU XID                          | Node c10-3c2s4n1 GPU Xid 62 PMU communication error|2889909|c10-3c2s4n1
| titan    |2943921| 2016-08-26 02:29:51 | hardware | system | GPU DBE                          | Node c10-3c2s4n1 GPU DBE on GPU|2889906|c10-3c2s4n1
| titan    |2944017| 2016-08-26 13:45:25 | software | system | GPU BUS                          | Node c24-2c1s4n3 GPU 0000:02:00.0 off the bus|2889918|c24-2c1s4n3
| titan    |2943843| 2016-08-26 14:06:29 | hardware | system | GPU DBE                          | Node c21-4c1s1n1 GPU DBE on GPU|2889921|c21-4c1s1n1
